Nr.;Tag;Datum;Heim;Gast;Spielhalle;Schiedsrichter
5;1;21.09.2024 17:00;WINGS Leverkusen 2;DJK Frankenberg;Werner-Heisenberg-Gymnasium;SR1Henning Wentzien
;;;;;;SR2Maximilian Rademacher
7;2;28.09.2024 18:00;DJK Frankenberg;UBC Münster;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2Adnan Huseinbasic
15;3;05.10.2024 18:00;SG Bergische Löwen;DJK Frankenberg;SH des Albertus-Magnus-Gymnasiums;SR1Benjamin Pakmor
;;;;;;SR2*** ****
19;4;02.11.2024 20:00;DJK Frankenberg;Hürther BC;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2Aykut Kursuntel
30;5;09.11.2024 16:00;VfL AstroStars Bochum 2;DJK Frankenberg;Sporthalle Lohring;SR1Marcus Wagenführ
;;;;;;SR2Radu Catalin Calcan
31;6;15.11.2024 20:30;DJK Frankenberg;DTV Basketball Köln;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2Aykut Kursuntel
40;7;30.11.2024 18:30;New Basket Oberhausen 2;DJK Frankenberg;SH Ost;SR1Alexander Prahm
;;;;;;SR2*** ****
43;8;07.12.2024 20:00;DJK Frankenberg;Talents BonnRhöndorf 2;Einhard-Gymnasium (Halle 1);SR1Marcel Bläsing
;;;;;;SR2Sebastian Appel
50;9;14.12.2024 16:00;TSV Hagen;DJK Frankenberg;Sporthalle Altenhagen;SR1Michel Kremer
;;;;;;SR2Marc Gennat
55;10;21.12.2024 16:00;Citybasket Recklinghausen;DJK Frankenberg;Vestische Arena Alfons Schütt;SR1*** ****
;;;;;;SR2Cornelius Knorre
61;11;18.01.2025 18:00;DJK Frankenberg;Gütersloher TV;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
71;12;25.01.2025 18:00;DJK Frankenberg;WINGS Leverkusen 2;Einhard-Gymnasium (Halle 1);SR1Ermin Dedic
;;;;;;SR2Simon Kirchhoff
73;13;01.02.2025 16:30;UBC Münster;DJK Frankenberg;Ballsporthalle Pascal-Gymnasium;SR1Andreas Wildenauer
;;;;;;SR2Konstantin Offergeld
81;14;08.02.2025 18:00;DJK Frankenberg;SG Bergische Löwen;Einhard-Gymnasium (Halle 1);SR1Aykut Kursuntel
;;;;;;SR2Jasper vom Felde
85;15;15.02.2025 18:00;Hürther BC;DJK Frankenberg;Gymnasium Bonnstraße;SR1Henrik Stachowicz
;;;;;;SR2*** ****
96;16;22.02.2025 18:00;DJK Frankenberg;VfL AstroStars Bochum 2;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2Christopher Braun
97;17;08.03.2025 18:00;DTV Basketball Köln;DJK Frankenberg;SH des Gymnasiums Kreuzgasse;SR1Adnan Huseinbasic
;;;;;;SR2Kyle Jerz
106;18;15.03.2025 20:00;DJK Frankenberg;New Basket Oberhausen 2;Einhard-Gymnasium (Halle 1);SR1Alexandr Turcanu
;;;;;;SR2Marcel Bläsing
109;19;21.03.2025 20:30;Talents BonnRhöndorf 2;DJK Frankenberg;3-fach Sporthalle Gesamtschule;SR1Sebastian Appel
;;;;;;SR2Marcus Frank
116;20;29.03.2025 18:00;DJK Frankenberg;TSV Hagen;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
121;21;05.04.2025 18:00;DJK Frankenberg;Citybasket Recklinghausen;Einhard-Gymnasium (Halle 1);SR1Alexander Prahm
;;;;;;SR2Marc Gennat
127;22;12.04.2025 18:30;Gütersloher TV;DJK Frankenberg;SH Gesamtschule an der Ahornallee;SR1Dominik Weege
;;;;;;SR2*** ****
