Nr.;Tag;Datum;Heim;Gast;Spielhalle;Schiedsrichter
5;1;21.09.2024 20:00;TuS Zülpich;DJK Frankenberg;Städt. SH Blayer Str. (Dreifachhalle);
7;2;28.09.2024 16:00;DJK Frankenberg;BG Aachen 2;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
15;3;05.10.2024 19:00;TS Frechen;DJK Frankenberg;SH Rotdornweg (Nähe Gymnasium);SR1Anton Sofronov
;;;;;;SR2*** ****
19;4;02.11.2024 18:00;DJK Frankenberg;Hürther BC 2;Einhard-Gymnasium (Halle 1);SR1Aziz Firat Gözkaman
;;;;;;SR2*** ****
30;5;09.11.2024 19:30;DJK Bad Münstereifel;DJK Frankenberg;St.-Angela-Gymnasium;SR1*** ****
;;;;;;SR2*** ****
31;6;16.11.2024 17:30;DJK Frankenberg;TuS Brauweiler;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2Daniel Homolka
40;7;01.12.2024 16:00;TV Blatzheim;DJK Frankenberg;Neue 3-fach-Halle am Schulzentrum;SR1*** ****
;;;;;;SR2Hassan Bouhajra
43;8;07.12.2024 18:00;DJK Frankenberg;Telekom Baskets Bonn 5;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
50;9;14.12.2024 19:00;Haarener TE;DJK Frankenberg;Geschwister-Scholl-Gymnasium (obere Halle);SR1Daniel Homolka
;;;;;;SR2*** ****
55;10;22.12.2024 18:00;SG Herzogenrath/Baesweiler;DJK Frankenberg;Schulzentrum Herzogenrath;SR1*** ****
;;;;;;SR2*** ****
61;11;18.01.2025 16:00;DJK Frankenberg;Telekom Baskets Bonn 4;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
71;12;25.01.2025 16:00;DJK Frankenberg;TuS Zülpich;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
73;13;01.02.2025 16:00;BG Aachen 2;DJK Frankenberg;Schulzentrum Laurensberg (Halle 1);SR1*** ****
;;;;;;SR2*** ****
81;14;08.02.2025 16:00;DJK Frankenberg;TS Frechen;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
85;15;15.02.2025 16:00;Hürther BC 2;DJK Frankenberg;Gymnasium Bonnstraße;SR1*** ****
;;;;;;SR2*** ****
96;16;22.02.2025 16:00;DJK Frankenberg;DJK Bad Münstereifel;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2Alexander Rabe
97;17;09.03.2025 18:00;TuS Brauweiler;DJK Frankenberg;3-fach-Halle Gymnasium Brauweiler;SR1*** ****
;;;;;;SR2*** ****
106;18;15.03.2025 18:00;DJK Frankenberg;TV Blatzheim;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
109;19;20.03.2025 20:30;Telekom Baskets Bonn 5;DJK Frankenberg;Baskets Ausbildungszentrum (Feld 1);SR1*** ****
;;;;;;SR2Fayed Qureshi
116;20;29.03.2025 16:00;DJK Frankenberg;Haarener TE;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
121;21;05.04.2025 16:00;DJK Frankenberg;SG Herzogenrath/Baesweiler;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
127;22;07.04.2025 20:30;Telekom Baskets Bonn 4;DJK Frankenberg;Baskets Ausbildungszentrum (Feld 1);SR1*** ****
;;;;;;SR2*** ****
