Nr.;Tag;Datum;Heim;Gast;Spielhalle;Schiedsrichter
5;2;28.09.2024 10:30;Pulheimer SC;DJK Frankenberg Aachen;SH am Gymnasium;SR1*** ****
10;3;05.10.2024 13:30;DJK Frankenberg Aachen;RheinStars Köln 3;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
15;4;02.11.2024 12:00;RheinStars Köln 2;DJK Frankenberg Aachen;Basketball Campus Köln 1 powered by Flossbach von Storch;SR1*** ****
;;;;;;SR2Julian Jäger
17;5;10.11.2024 10:00;DJK Köln-Nord;DJK Frankenberg Aachen;Josef-Du Mont-Schule (Halle 2) (3 Querfelder);SR1Pia Scherer
;;;;;;SR2*** ****
22;6;16.11.2024 13:30;DJK Frankenberg Aachen;TV Dellbrück;Einhard-Gymnasium (Halle 1);
2;1;23.11.2024 13:30;DJK Frankenberg Aachen;BC Köln-Pesch;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
27;7;01.12.2024 14:00;TV Blatzheim;DJK Frankenberg Aachen;Mehrzweck-SH Blatzheim;SR1*** ****
2;1;11.01.2025 13:30;DJK Frankenberg Aachen;TV Blatzheim;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
5;2;18.01.2025 14:00;Pulheimer SC;DJK Frankenberg Aachen;SH der Realschule;SR1*** ****
10;3;25.01.2025 12:00;DJK Frankenberg Aachen;TuS Zülpich;Einhard-Gymnasium (Halle 1);
15;4;01.02.2025 12:00;SG Sechtem 2;DJK Frankenberg Aachen;2-fach Halle Johann-Wallraf-Schule (Feld links);SR1*** ****
;;;;;;SR2*** ****
17;5;09.02.2025 12:00;DJK Köln-Nord;DJK Frankenberg Aachen;Josef-Du Mont-Schule (Halle 2) (3 Querfelder);SR1*** ****
;;;;;;SR2Linus Mann
22;6;15.02.2025 13:30;DJK Frankenberg Aachen;BG Bonn 3;Einhard-Gymnasium (Halle 1);SR1Jost Schäfer
;;;;;;SR2*** ****
27;7;09.03.2025 16:00;TV Neunkirchen;DJK Frankenberg Aachen;Sporthalle der Grundschule Neunkirchen;SR1*** ****
;;;;;;SR2*** ****
30;8;15.03.2025 15:00;TV Blatzheim;DJK Frankenberg Aachen;Mehrzweck-SH Blatzheim;SR1*** ****
;;;;;;SR2*** ****
33;9;22.03.2025 13:30;DJK Frankenberg Aachen;Pulheimer SC;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2Thomas Kevin Paszenda
38;10;29.03.2025 14:00;TuS Zülpich;DJK Frankenberg Aachen;Städt. SH Blayer Str. (Dreifachhalle);SR1*** ****
;;;;;;SR2*** ****
43;11;05.04.2025 13:30;DJK Frankenberg Aachen;SG Sechtem 2;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
45;12;10.05.2025 13:30;DJK Frankenberg Aachen;DJK Köln-Nord;Einhard-Gymnasium (Halle 1);SR1Jasper vom Felde
;;;;;;SR2*** ****
50;13;11.05.2025 14:00;BG Bonn 3;DJK Frankenberg Aachen;3-fach Sporthalle Gesamtschule;
55;14;17.05.2025 13:30;DJK Frankenberg Aachen;TV Neunkirchen;Einhard-Gymnasium (Halle 1);
